po_/_so_#,country,sub_classification,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,days_to_process
0,1064,2,30,19,551.0,29.0,0.97,1,780.34,0,-1095
0,673,5,240,1000,6200.0,6.2,0.03,1,4521.5,0,-930
0,1064,2,100,500,40000.0,80.0,0.8,1,1653.78,0,-1009
0,673,1,60,31920,127360.8,3.99,0.07,1,16007.06,0,-1004
0,673,1,60,38000,121600.0,3.2,0.05,1,45450.08,0,-1025
0,1107,5,240,416,2225.6,5.35,0.02,1,5920.42,0,-977
0,648,5,90,135,4374.0,32.4,0.36,1,0.0,0,-875
0,494,1,60,16667,60834.55,3.65,0.06,1,6212.41,0,-920
0,1107,1,60,273,532.35,1.95,0.03,0,3549.77,0,-907
0,648,1,120,2800,115080.0,41.1,0.34,1,0.0,0,-853
0,648,1,120,2800,115080.0,41.1,0.34,1,0.0,0,-836
0,648,2,20,2500,100000.0,40.0,2.0,1,13569.49,0,-875
0,1107,2,100,10,850.0,85.0,0.85,1,0.0,0,-873
0,403,1,60,10000,99800.0,9.98,0.17,1,64179.42,0,-825
0,615,2,100,750,60000.0,80.0,0.8,1,1760.32,0,-865
0,528,5,60,579,14764.5,25.5,0.42,1,0.0,0,-805
0,1107,2,100,1500,120000.0,80.0,0.8,1,0.0,0,-756
0,403,2,30,2000,33000.0,16.5,0.55,1,3120.7,0,-795
0,494,5,200,712,8964.08,12.59,0.06,1,912.96,0,-726
0,1107,2,100,1000,80000.0,80.0,0.8,1,2682.47,0,-713
0,1107,2,20,7500,202500.0,27.0,1.35,1,15893.71,0,-713
0,1064,5,60,5513,140581.5,25.5,0.42,1,0.0,0,-608
0,673,5,240,1000,1920.0,1.92,0.01,1,4193.49,0,-595
0,673,1,120,500,41095.0,82.19,0.68,1,1767.38,0,-644
0,615,2,100,750,53992.5,71.99,0.72,1,3518.38,0,-650
0,494,2,25,10000,200000.0,20.0,0.8,1,27869.74,0,-594
0,494,2,25,10000,200000.0,20.0,0.8,1,28461.1,0,-557
0,494,2,25,10000,200000.0,20.0,0.8,1,28359.8,0,-557
0,181,1,60,64000,99200.0,1.55,0.03,1,12237.61,0,-559
0,1107,2,20,10000,270000.0,27.0,1.35,1,20885.78,0,-607
0,1402,5,200,40,317.6,7.94,0.04,1,0.0,0,-489
0,673,1,30,1000,17000.0,17.0,0.57,1,2282.57,0,-497
0,673,1,60,400,3352.0,8.38,0.14,1,2149.05,0,-497
0,403,3,100,1500,15.0,0.01,0.0,1,0.75,0,-487
0,1107,3,100,650,6.5,0.01,0.0,1,0.0,0,-482
0,1402,5,200,200,340.0,1.7,0.01,1,0.0,0,-514
0,615,2,100,2,278.0,139.0,1.39,1,0.0,0,-469
0,1064,2,40,476,36176.0,76.0,1.9,1,5446.51,0,-349
0,1064,2,25,659,13180.0,20.0,0.8,1,2656.12,0,-74
0,237,3,100,240,2.4,0.01,0.0,1,0.0,0,-426
0,237,3,100,213,2.13,0.01,0.0,1,360.0,0,-308
0,528,2,100,1634,117631.66,71.99,0.72,1,4112.46,0,-196
0,1107,2,20,1425,38475.0,27.0,1.35,1,5468.88,0,-410
0,95,2,100,142,10222.58,71.99,0.72,1,1715.17,0,-362
0,673,1,30,8400,96432.0,11.48,0.38,1,4051.34,0,-363
0,1402,1,270,6,405.06,67.51,0.25,1,0.0,3,-403
0,1402,5,200,600,870.0,1.45,0.01,0,0.0,3,-403
0,673,5,60,400,2800.0,7.0,0.12,1,2211.05,0,-324
0,1402,5,60,6,77.1,12.85,0.21,1,0.0,0,-420
0,1107,2,100,5498,439785.02,79.99,0.8,1,16090.22,0,-327
0,1107,3,100,5498,54.98,0.01,0.0,1,0.0,0,-332
0,181,2,20,15,691.42,46.09,2.3,1,0.0,0,-388
0,673,1,30,1344,18359.04,13.66,0.46,1,13507.92,0,-255
